event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
638248,BOYD CO.,0,0,40000,0,0,0
633826,OWEN CO.,0,0,0,0,0,0
633828,OWEN CO.,0,0,0,0,0,0
633827,OWEN CO.,0,0,0,0,0,0
638279,LAWRENCE CO.,0,0,50000,0,0,0
634135,PIKE CO.,0,0,1000,0,0,0
642486,CARLISLE CO.,0,0,10000,0,0,0
642488,CALLOWAY CO.,0,0,30000,0,0,0
642490,GRAVES CO.,0,0,0,0,0,0
642493,MARSHALL CO.,0,0,400000,0,0,0
642495,CRITTENDEN CO.,0,0,0,0,0,0
642180,ALLEN CO.,0,0,0,0,0,0
645195,HOPKINS CO.,0,0,50000,0,0,0
645330,CRITTENDEN CO.,0,0,0,0,0,0
642181,BUTLER CO.,0,0,0,0,0,0
645432,MUHLENBERG CO.,0,0,40000,0,0,0
645435,WEBSTER CO.,0,0,0,0,0,0
642182,BUTLER CO.,0,0,0,0,0,0
642183,BUTLER CO.,0,0,0,0,0,0
642184,WARREN CO.,0,0,0,0,0,0
642185,SIMPSON CO.,0,0,0,0,0,0
646563,CALDWELL CO.,0,0,30000,0,0,0
646564,CHRISTIAN CO.,0,0,10000,0,0,0
645394,LIVINGSTON CO.,0,0,40000,0,0,0
646565,TODD CO.,0,0,600000,0,0,0
646566,TRIGG CO.,0,0,150000,0,0,0
646568,MARSHALL CO.,0,0,2000000,0,0,0
642186,LOGAN CO.,0,0,0,0,0,0
647420,MCCRACKEN CO.,0,0,0,0,0,0
642187,SIMPSON CO.,0,0,0,0,0,0
646583,CALLOWAY CO.,0,0,10000,0,0,0
642188,SIMPSON CO.,0,0,0,0,0,0
642189,EDMONSON CO.,0,0,0,0,0,0
646591,CHRISTIAN CO.,0,0,0,0,0,0
642190,SIMPSON CO.,0,0,0,0,0,0
642191,SIMPSON CO.,0,0,0,0,0,0
637123,MADISON CO.,0,0,0,0,0,0
637124,LINCOLN CO.,0,0,0,0,0,0
637125,GARRARD CO.,0,0,0,0,0,0
634805,BREATHITT CO.,0,0,5000,0,0,0
634806,PULASKI CO.,0,0,100,0,0,0
634811,BELL CO.,0,0,100,0,0,0
634810,LESLIE CO.,0,0,20000,0,0,0
646745,MCCRACKEN CO.,0,0,0,0,0,0
646749,BALLARD CO.,0,0,0,0,0,0
634809,CLAY CO.,0,0,20000,0,0,0
646761,WEBSTER CO.,0,0,40000,0,0,0
646758,DAVIESS CO.,0,0,0,0,0,0
646763,MCLEAN CO.,0,0,8000,0,0,0
642090,BARREN CO.,0,0,0,0,0,0
642092,BARREN CO.,0,0,0,0,0,0
646788,DAVIESS CO.,0,0,0,0,0,0
642097,OHIO CO.,0,0,0,0,0,0
642095,HARDIN CO.,0,0,0,0,0,0
642098,OHIO CO.,0,0,0,0,0,0
642450,PIKE CO.,0,0,100,10,0,0
642451,WHITLEY CO.,0,0,100,10,0,0
642453,WHITLEY CO.,0,0,100,10,0,0
642105,FRANKLIN CO.,0,0,0,0,0,0
642210,FRANKLIN CO.,0,0,0,0,0,0
642106,SCOTT CO.,0,0,0,0,0,0
642661,CAMPBELL CO.,0,0,50000,0,0,0
642107,CLARK CO.,0,0,0,0,0,0
642458,MONTGOMERY CO.,0,0,300,0,0,0
642454,ROWAN CO.,0,0,500,100,0,0
646931,TODD CO.,0,0,10000,0,0,0
642464,MONTGOMERY CO.,0,0,25000,10,0,0
642109,MADISON CO.,0,0,0,0,0,0
641513,CARROLL CO.,0,0,0,0,0,0
641514,CARROLL CO.,0,0,0,0,0,0
650390,MCCRACKEN CO.,0,0,30000,0,0,0
654133,GRAVES CO.,0,0,30000,0,0,0
650392,MARSHALL CO.,0,0,0,0,0,0
642192,CLARK CO.,0,0,0,0,0,0
640987,LAWRENCE CO.,0,0,0,0,0,0
641166,LAWRENCE CO.,0,0,0,0,0,0
642194,CLARK CO.,0,0,0,0,0,0
642195,CLARK CO.,0,0,0,0,0,0
642478,PULASKI CO.,0,0,25000,0,0,0
642482,CLAY CO.,0,0,500,0,0,0
642483,BELL CO.,0,0,1000,10,0,0
652342,DAVIESS CO.,0,0,0,0,0,0
652348,MCCRACKEN CO.,0,0,0,0,0,0
652346,BALLARD CO.,0,0,0,0,0,0
654136,MARSHALL CO.,0,0,0,0,0,0
642489,LESLIE CO.,0,0,100,50,0,0
642487,BELL CO.,0,0,3000,50,0,0
654082,BALLARD CO.,0,0,40000,0,0,0
654084,MCCRACKEN CO.,0,0,5000,0,0,0
654089,DAVIESS CO.,0,0,0,0,0,0
645405,CAMPBELL CO.,0,0,1000,0,0,0
643572,BOYD CO.,0,0,0,0,0,0
647034,MADISON CO.,0,0,0,0,0,0
649187,BOONE CO.,0,0,0,0,0,0
649188,KENTON CO.,0,0,50000,0,0,0
649190,KENTON CO.,0,0,2000,0,0,0
649191,BOONE CO.,0,0,0,0,0,0
649193,CAMPBELL CO.,0,0,0,0,0,0
649196,CAMPBELL CO.,0,0,0,0,0,0
650357,POWELL CO.,0,0,10,0,0,0
650359,POWELL CO.,0,0,50,0,0,0
658206,BOONE CO.,0,0,10000,0,0,0
658207,CAMPBELL CO.,0,0,0,0,0,0
676345,LEWIS CO.,0,0,0,0,0,0
676346,LEWIS CO.,0,0,0,0,0,0
676349,LEWIS CO.,0,0,200000,0,0,0
676367,BOONE CO.,0,0,50000,0,0,0
675717,HANCOCK CO.,0,0,0,0,0,0
673714,GREENUP CO.,0,0,1000,0,0,0
680040,KNOX CO.,0,0,0,0,0,0
681837,CAMPBELL CO.,0,0,0,0,0,0
681840,KENTON CO.,0,0,0,0,0,0
681252,WHITLEY CO.,0,0,0,0,0,0
681544,HARLAN CO.,0,0,0,0,0,0
684594,JEFFERSON CO.,0,0,0,0,0,0
687747,HENDERSON CO.,0,0,0,0,0,0
684595,OLDHAM CO.,0,0,0,0,0,0
688084,CARROLL CO.,0,0,0,0,0,0
688085,BOONE CO.,0,0,0,0,0,0
689605,HICKMAN CO.,0,0,0,0,0,0
689606,BALLARD CO.,0,0,0,0,0,0
687766,ALLEN CO.,0,0,0,0,0,0
687768,ALLEN CO.,0,0,0,0,0,0
687770,ALLEN CO.,0,0,0,0,0,0
687772,ALLEN CO.,0,0,0,0,0,0
688102,PERRY CO.,0,0,100,0,0,0
688103,PIKE CO.,0,0,50000,0,0,0
688104,FLOYD CO.,0,0,500,0,0,0
688107,FLOYD CO.,0,0,10000,0,0,0
688945,CARTER CO.,0,0,2000,0,0,0
688949,BOYD CO.,0,0,2000,0,0,0
691229,LEWIS CO.,0,0,0,0,0,0
691230,CARROLL CO.,0,0,0,0,0,0
688286,MAGOFFIN CO.,0,0,1000,0,0,0
687774,HART CO.,0,0,0,0,0,0
688609,PIKE CO.,0,0,20000,0,0,0
688608,MARTIN CO.,0,0,500,0,0,0
691253,GALLATIN CO.,0,0,0,0,0,0
691257,GALLATIN CO.,0,0,0,0,0,0
689886,ESTILL CO.,0,0,1000,0,0,0
692708,LEWIS CO.,0,0,0,0,0,0
691150,GREEN CO.,0,0,0,0,0,0
689887,LETCHER CO.,0,0,1000,0,0,0
691147,TAYLOR CO.,0,0,0,0,0,0
691148,TAYLOR CO.,0,0,40000,0,0,0
689888,PULASKI CO.,0,0,1000,0,0,0
691149,CASEY CO.,0,0,50000,0,0,0
691151,TAYLOR CO.,0,0,0,0,0,0
691152,CASEY CO.,0,0,40000,0,0,0
691155,CLINTON CO.,0,0,0,0,0,0
691156,CUMBERLAND CO.,0,0,0,0,0,0
689894,KNOX CO.,0,0,1000,0,0,0
689901,HARLAN CO.,0,0,1000,0,0,0
