event_id,maxtemp_f,mintemp_f,avgtemp_f,maxwind_mph,totalprecip_in,avgvis_miles,avghumidity,uv,daily_will_it_rain,daily_chance_of_rain,condition_text
610051,63.1,44.7,55.5,16.1,1.13,5.0,91,0.5,1,100,Moderate or heavy rain shower
620472,64.4,59.2,61.8,15.7,1.44,4.0,94,0.6,1,100,Moderate or heavy rain shower
620474,63.1,60.1,61.7,15.1,1.99,3.0,94,0.6,1,100,Moderate or heavy rain shower
620964,61.7,59.4,60.3,12.8,1.4,3.0,96,0.7,1,100,Moderate or heavy rain shower
625665,77.4,64.2,69.1,12.2,1.18,4.0,85,4.0,1,100,Moderate or heavy rain shower
625670,77.3,63.5,68.7,13.9,1.24,5.0,85,4.0,1,100,Moderate or heavy rain shower
625677,76.9,62.8,68.8,11.4,1.24,4.0,86,4.8,1,100,Moderate or heavy rain shower
629182,74.7,59.1,65.8,8.1,0.65,4.0,91,6.6,1,100,Moderate or heavy rain shower
623516,74.7,59.1,65.8,8.1,0.65,4.0,91,6.6,1,100,Moderate or heavy rain shower
622483,75.2,58.3,65.4,6.7,0.26,5.0,87,8.2,1,100,Moderate rain at times
622238,77.2,60.3,66.3,7.2,0.64,5.0,88,7.0,1,100,Moderate or heavy rain shower
623717,74.5,56.1,64.1,8.1,0.83,3.0,92,2.5,1,100,Moderate or heavy rain shower
623718,73.8,54.7,63.6,8.3,0.94,2.0,90,3.2,1,100,Moderate or heavy rain shower
623719,74.0,56.2,64.4,7.4,0.96,3.0,91,5.1,1,100,Moderate or heavy rain shower
630331,74.1,61.9,67.3,15.7,0.87,4.0,91,3.7,1,100,Moderate or heavy rain shower
626571,74.1,61.3,66.2,12.8,0.94,5.0,87,5.1,1,100,Moderate or heavy rain shower
627331,76.8,60.0,67.8,12.7,0.06,6.0,77,8.7,1,100,Heavy rain at times
626615,83.7,63.9,72.0,8.1,0.77,5.0,87,5.4,1,100,Moderate or heavy rain shower
632950,83.7,63.9,72.0,8.1,0.77,5.0,87,5.4,1,100,Moderate or heavy rain shower
